phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,f1,mean_precision,mean_recall,mean_accuracy,mean_f1,tp,fp,fn,tn,sample_count
threshold,0.085,1.25,0.55,False,1.22,2.3,,0.12,0.620828791692265,0.3351219971415612,0.8897049664367604,0.43528053323477145,0.6099137207216715,0.3557217068401514,0.8932849903896285,0.4416126625077375,156632,95663,310756,3121784,10
threshold,0.085,1.35,0.45,False,1.22,2.3,,0.12,0.6045071480378332,0.3512969952159662,0.8885657023991577,0.4443620509309189,0.5932914527898544,0.3716237184018884,0.8920899819578457,0.44886168349262395,164192,107421,303196,3110026,10
threshold,0.085,1.35,0.5,False,1.22,2.3,,0.12,0.6045071480378332,0.3512969952159662,0.8885657023991577,0.4443620509309189,0.5932914527898544,0.3716237184018884,0.8920899819578457,0.44886168349262395,164192,107421,303196,3110026,10
threshold,0.085,1.35,0.55,False,1.22,2.3,,0.12,0.6045071480378332,0.3512969952159662,0.8885657023991577,0.4443620509309189,0.5932914527898544,0.3716237184018884,0.8920899819578457,0.44886168349262395,164192,107421,303196,3110026,10
threshold,0.095,1.15,0.45,False,1.22,2.3,,0.12,0.6156839118435884,0.3388983029089322,0.889312818620101,0.4371634619365273,0.6044893488327349,0.3596431725430236,0.8928053025549184,0.442921654442328,158397,98873,308991,3118574,10
threshold,0.095,1.15,0.5,False,1.22,2.3,,0.12,0.6156839118435884,0.3388983029089322,0.889312818620101,0.4371634619365273,0.6044893488327349,0.3596431725430236,0.8928053025549184,0.442921654442328,158397,98873,308991,3118574,10
threshold,0.095,1.15,0.55,False,1.22,2.3,,0.12,0.6156839118435884,0.3388983029089322,0.889312818620101,0.4371634619365273,0.6044893488327349,0.3596431725430236,0.8928053025549184,0.442921654442328,158397,98873,308991,3118574,10
threshold,0.095,1.25,0.45,False,1.22,2.3,,0.12,0.5980125082901295,0.3588346299006393,0.8880785706822694,0.4485305719657361,0.587332769312685,0.38051345772958645,0.8914888270150161,0.4530320062530054,167715,112739,299673,3104708,10
threshold,0.095,1.25,0.5,False,1.22,2.3,,0.12,0.5980125082901295,0.3588346299006393,0.8880785706822694,0.4485305719657361,0.587332769312685,0.38051345772958645,0.8914888270150161,0.4530320062530054,167715,112739,299673,3104708,10
threshold,0.095,1.25,0.55,False,1.22,2.3,,0.12,0.5980125082901295,0.3588346299006393,0.8880785706822694,0.4485305719657361,0.587332769312685,0.38051345772958645,0.8914888270150161,0.4530320062530054,167715,112739,299673,3104708,10
threshold,0.095,1.35,0.45,False,1.22,2.3,,0.12,0.5800160777459912,0.3812977654539697,0.8865031948513299,0.46011786043929803,0.5689832838254798,0.4032511515035206,0.8896226975632409,0.46325702686631215,178214,129043,289174,3088404,10
threshold,0.095,1.35,0.5,False,1.22,2.3,,0.12,0.5800160777459912,0.3812977654539697,0.8865031948513299,0.46011786043929803,0.5689832838254798,0.4032511515035206,0.8896226975632409,0.46325702686631215,178214,129043,289174,3088404,10
threshold,0.095,1.35,0.55,False,1.22,2.3,,0.12,0.5800160777459912,0.3812977654539697,0.8865031948513299,0.46011786043929803,0.5689832838254798,0.4032511515035206,0.8896226975632409,0.46325702686631215,178214,129043,289174,3088404,10
threshold,0.105,1.15,0.45,False,1.22,2.3,,0.12,0.5919147259521675,0.3632035910207365,0.8874666029822231,0.45017575356578854,0.5806109932138224,0.38451797369390733,0.890699889168195,0.45323433029556587,169757,117036,297631,3100411,10
threshold,0.105,1.15,0.5,False,1.22,2.3,,0.12,0.5919147259521675,0.3632035910207365,0.8874666029822231,0.45017575356578854,0.5806109932138224,0.38451797369390733,0.890699889168195,0.45323433029556587,169757,117036,297631,3100411,10
threshold,0.105,1.15,0.55,False,1.22,2.3,,0.12,0.5919147259521675,0.3632035910207365,0.8874666029822231,0.45017575356578854,0.5806109932138224,0.38451797369390733,0.890699889168195,0.45323433029556587,169757,117036,297631,3100411,10
threshold,0.105,1.25,0.45,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
threshold,0.105,1.25,0.5,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
threshold,0.105,1.25,0.55,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
threshold,0.105,1.35,0.45,False,1.22,2.3,,0.12,0.5666497673595383,0.404141740909052,0.8852179269899466,0.47179403922646074,0.5542952941972702,0.424840438446641,0.8878381170771344,0.47202828748896913,188891,144456,278497,3072991,10
threshold,0.105,1.35,0.5,False,1.22,2.3,,0.12,0.5666497673595383,0.404141740909052,0.8852179269899466,0.47179403922646074,0.5542952941972702,0.424840438446641,0.8878381170771344,0.47202828748896913,188891,144456,278497,3072991,10
threshold,0.105,1.35,0.55,False,1.22,2.3,,0.12,0.5673503284394703,0.40488416476246714,0.8853519899805554,0.4725427157010244,0.5550655377190428,0.42573643101016084,0.8880243599846352,0.47289092564925717,189238,144309,278150,3073138,10
recovery,0.105,1.35,0.55,True,1.1,2.0,12,0.1,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.0,12,0.15,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.0,18,0.1,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.0,18,0.15,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.0,24,0.1,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.0,24,0.15,0.5051831036749636,0.4192619408286049,0.8742502717218003,0.45822961522677286,0.5004111125624136,0.45129457376815535,0.8775845074249922,0.4661978558415649,195958,191937,271430,3025510,10
recovery,0.105,1.35,0.55,True,1.1,2.3,12,0.1,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.3,12,0.15,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.3,18,0.1,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.3,18,0.15,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.3,24,0.1,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.3,24,0.15,0.5082324373370216,0.4182499336739497,0.8748777082284552,0.4588715119861506,0.5044581400052985,0.44903031322756914,0.8783276078667301,0.46660748168920163,195485,189152,271903,3028295,10
recovery,0.105,1.35,0.55,True,1.1,2.6,12,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
