source,image,channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
Neo,1.png,C4 artifact safe,0.22183959120195204,0.12475791841069338,0.1819175586426741,0.2842097772717468,0.9360497616241584,0.07444593641493055,0.04765150282118055,0.11978383816873461,0.6126063572959842
Neo,2.png,C4G4,0.22414747126618148,0.1262196424756049,0.16128958864215143,0.3672866690844844,0.9353873551110105,0.07451714409722222,0.032723320855034724,0.1261776514361432,0.6554477678619319
Neo,2.png,C6G6,0.21712804135771874,0.1217855496045096,0.15623862395340016,0.3557846743691852,0.9349982384583952,0.07451714409722222,0.032723320855034724,0.1329715030038192,0.6497757318189935
Neo,2.png,C4 artifact safe,0.18439940557118628,0.1015638605412542,0.1326871885878067,0.3021605098181285,0.9331823607461908,0.07451883951822917,0.032723320855034724,0.0912811129554123,0.6206937503220716
Neo,3.png,C4G4,0.2550618134496848,0.14617240622943414,0.22750238973097942,0.2902186220712398,0.9388851977291247,0.074493408203125,0.0583953857421875,0.14556438033784289,0.6167472817346198
Neo,3.png,C6G6,0.25449395914930206,0.14579952930169793,0.2269913518434177,0.2895798856080978,0.9388419841514186,0.0744967990451389,0.0583953857421875,0.1512952496711119,0.6169753624647397
Neo,3.png,C4 artifact safe,0.2140542471485773,0.11985484262711814,0.19092378069596053,0.24356182678627752,0.935989888022815,0.07449510362413195,0.0583953857421875,0.11644262241904059,0.5914889548706447
Neo,4.png,C4G4,0.27496406733415824,0.15939613901794694,0.2572770167080701,0.29526251079079463,0.9409278875700902,0.07437981499565972,0.06481085883246528,0.18351352302913343,0.6212402765382007
Neo,4.png,C6G6,0.2557306764756004,0.146611921121723,0.23927065527064983,0.27462264891306476,0.93949024378305,0.0743865966796875,0.06481085883246528,0.1772328971842856,0.6105024886371551
Neo,4.png,C4 artifact safe,0.25003349532892105,0.1428790177763528,0.2339426539636178,0.2685013210557913,0.9390678339439826,0.07438490125868055,0.06481085883246528,0.16387989549888599,0.60641877617774
Neo,5.png,C4G4,0.2847482520692091,0.1660095973740984,0.21153846153845673,0.4354499087548343,0.9389817627842566,0.0745849609375,0.036232842339409724,0.19397271402906374,0.6926399865499819
Neo,5.png,C6G6,0.2873927210977973,0.16781005466823584,0.21349668151649667,0.4395208460062496,0.9391277730964548,0.07459174262152778,0.036232842339409724,0.20330888734475822,0.6950051111807874
Neo,5.png,C4 artifact safe,0.25909494232475205,0.1488277268093756,0.19247641777474278,0.39623789247108715,0.9375023088980075,0.07459004720052083,0.036232842339409724,0.15668912348310926,0.6709975662020559
