source,image,variant,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
Neo,1.png,Triangle,0.2875297103301962,0.16790347375056494,0.19590435758803312,0.5401693588557411,0.8890635514617639,0.1313900417751736,0.04765150282118055,0.18538213541103415,0.7240135715486992
Neo,1.png,P08,0.3068021087823019,0.18119684082624202,0.27980064497214074,0.3395716217177706,0.9562663115655881,0.057830810546875,0.04765150282118055,0.14689981322632173,0.6492550185366747
Neo,1.png,P10,0.31315729955896876,0.18564700755861388,0.25979173507199543,0.39411513555822975,0.9438134437564739,0.07228936089409722,0.04765150282118055,0.1589995808475772,0.6712278599360152
Neo,1.png,P12,0.31120698355030385,0.1842777537087084,0.24107805964898096,0.4388742617234598,0.9308710064480736,0.08674791124131945,0.04765150282118055,0.16809508327560577,0.6884441743973755
Neo,1.png,Hybrid10,0.2875297103301962,0.16790347375056494,0.19590435758803312,0.5401693588557411,0.8890635514617639,0.1313900417751736,0.04765150282118055,0.18538213541103415,0.7240135715486992
Neo,2.png,Triangle,0.189349214868162,0.10457522589281346,0.11366541607341314,0.5666545774830026,0.8505161053980279,0.1631351047092014,0.032723320855034724,0.16312077387018623,0.7263717636811968
Neo,2.png,P08,0.2613462042129633,0.15031526393939723,0.20452083272332727,0.3618983472358758,0.9523805350529234,0.05790371365017361,0.032723320855034724,0.1380036617064596,0.6597465320797308
Neo,2.png,P10,0.2515849074865666,0.14389312272802496,0.1826657296790775,0.4040205170716334,0.9388420799862565,0.07237752278645833,0.032723320855034724,0.14474047266432305,0.6754829901067356
Neo,2.png,P12,0.24103560237632404,0.13703267826339072,0.16592488482860612,0.44039168954974145,0.9251073138155675,0.08685302734375,0.032723320855034724,0.14988201998939849,0.688468500471666
Neo,2.png,Hybrid10,0.189349214868162,0.10457522589281346,0.11366541607341314,0.5666545774830026,0.8505161053980279,0.1631351047092014,0.032723320855034724,0.16312077387018623,0.7263717636811968
Neo,3.png,Triangle,0.23699636943238964,0.1344276128098994,0.17049957317772152,0.3885259704439106,0.8827741676434719,0.1330685085720486,0.0583953857421875,0.14134354057686283,0.642639639454675
Neo,3.png,P08,0.24431917752204793,0.13915922210576867,0.24579085005729012,0.24286502337194082,0.9537830786433079,0.057700263129340276,0.0583953857421875,0.11975354867867699,0.5994612373682856
Neo,3.png,P10,0.2496103086355574,0.14260270719543838,0.22585270680049305,0.27895363353946295,0.9407019685585193,0.0721249050564236,0.0583953857421875,0.12616994342646093,0.6117312210790072
Neo,3.png,P12,0.24916951293688006,0.14231504122071936,0.20864267664400463,0.30923554858751245,0.9272607453261797,0.08654954698350695,0.0583953857421875,0.13098213210313187,0.6211352361550097
Neo,3.png,Hybrid10,0.23699636943238964,0.1344276128098994,0.17049957317772152,0.3885259704439106,0.8827741676434719,0.1330685085720486,0.0583953857421875,0.14134354057686283,0.642639639454675
Neo,4.png,Triangle,0.331972429919757,0.19902094897855133,0.25953118089340615,0.4605122034164214,0.9089443923734158,0.11500040690104167,0.06481085883246528,0.22352551833598516,0.6921406362099927
Neo,4.png,P08,0.33783390802209656,0.20324918770307085,0.3589124933796164,0.3190938342009491,0.9605001477527959,0.05762057834201389,0.06481085883246528,0.18873036492293965,0.6412523611368139
Neo,4.png,P10,0.3469210754553296,0.20986358866736304,0.32954358213873014,0.36623329060610654,0.9483626633212273,0.07202657063802083,0.06481085883246528,0.20190836174390536,0.6597701488017866
Neo,4.png,P12,0.34519712578608913,0.20860317030212425,0.3020204001569184,0.4027781411044445,0.9354909471951425,0.08643256293402778,0.06481085883246528,0.21108871449557529,0.6730306811072062
Neo,4.png,Hybrid10,0.331972429919757,0.19902094897855133,0.25953118089340615,0.4605122034164214,0.9089443923734158,0.11500040690104167,0.06481085883246528,0.22352551833598516,0.6921406362099927
Neo,5.png,Triangle,0.2797048310142172,0.16259118554586188,0.20807084816944657,0.42655935613680096,0.9389641711803773,0.07427978515625,0.036232842339409724,0.15985676740168547,0.6872877545694149
Neo,5.png,P08,0.29247373826554907,0.17128506004262772,0.23781059540552515,0.37976697393662534,0.9542407199891618,0.057861328125,0.036232842339409724,0.15114275324049606,0.6696892114275689
Neo,5.png,P10,0.2808951913916653,0.1633961989897859,0.2108063759962445,0.42080389312617933,0.9407743472195573,0.07232666015625,0.036232842339409724,0.15885938565177132,0.6851044910768495
Neo,5.png,P12,0.26909401615170103,0.1554642589850132,0.1907171182434375,0.4568340274203146,0.9271215034488323,0.08679029676649305,0.036232842339409724,0.16478506037088758,0.6981064735324016
Neo,5.png,Hybrid10,0.2797048310142172,0.16259118554586188,0.20807084816944657,0.42655935613680096,0.9389641711803773,0.07427978515625,0.036232842339409724,0.15985676740168547,0.6872877545694149
