source,image,channel_source,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
Neo,2.png,CIELAB local16 small,0.2733610509508786,0.15831975243082608,0.19669669669669224,0.44795606445259584,0.9381094189016026,0.07452392578125,0.032723320855034724,0.17594585944028768,0.6991587885587348
Neo,3.png,CIELAB green 8x8,0.3206245136931219,0.19091889592732394,0.2859352959912571,0.36489272130765715,0.943487443754826,0.0745205349392361,0.0583953857421875,0.17740147928626585,0.6565511572526264
Neo,3.png,CIELAB green local16,0.31985716107638923,0.19037498102322467,0.28521391043281813,0.364079783990931,0.943413620559578,0.0745425754123264,0.0583953857421875,0.17076418657186088,0.6559040437388101
Neo,3.png,CIELAB blackhat,0.3123509228433996,0.18508049278209984,0.2785512785512722,0.35548587521411157,0.9429004593243179,0.07452392578125,0.0583953857421875,0.17753757336688486,0.6517870072080018
Neo,3.png,CIELAB local16 small,0.31210702852988415,0.18490925301859995,0.27830596369921584,0.3552536074093327,0.9428680491410384,0.07454087999131945,0.0583953857421875,0.1681808839079787,0.6514811400828632
Neo,4.png,CIELAB green 8x8,0.3395656463537882,0.20450410798121765,0.31771973012398985,0.3646375598398942,0.9457339325630832,0.07438151041666667,0.06481085883246528,0.2184682432092506,0.658487955065739
Neo,4.png,CIELAB green local16,0.34802942466019937,0.2106753170156265,0.32560789407715585,0.3737672325842893,0.9463503246029239,0.07439676920572917,0.06481085883246528,0.2193337918944228,0.6629409367783936
Neo,4.png,CIELAB blackhat,0.34611684183604696,0.2092752684054696,0.32380822167531853,0.37172678996519815,0.9462034782640206,0.07440185546875,0.06481085883246528,0.22932603262475965,0.6625830904436405
Neo,4.png,CIELAB local16 small,0.3408437667462325,0.20543199001688017,0.31888516670084277,0.36605017396080347,0.9458155138624739,0.07439676920572917,0.06481085883246528,0.21945659536778722,0.6591738875379533
Neo,5.png,CIELAB green 8x8,0.3545337738619623,0.2154609849963706,0.2633564367685431,0.5422769173178352,0.9429750568648578,0.07460700141059028,0.036232842339409724,0.2595434925839999,0.7494322648987011
Neo,5.png,CIELAB green local16,0.36175094062585483,0.2208155948913246,0.2687055508849999,0.5533667118992769,0.9433814229144697,0.07461717393663195,0.036232842339409724,0.26057725728455294,0.755019465382979
Neo,5.png,CIELAB blackhat,0.34322513537491445,0.2071646200720117,0.2549598890984648,0.5249637359037703,0.9423276858420996,0.0746036105685764,0.036232842339409724,0.2615356769605895,0.7406224447448868
Neo,5.png,CIELAB local16 small,0.35240673610791917,0.21389182866372913,0.2617705871659639,0.5390482429460232,0.9428483973169268,0.0746120876736111,0.036232842339409724,0.25171235610973036,0.7478782655312041
