clahe1_clip,clahe1_tile,median,clahe2_clip,clahe2_tile,target_density,keep_top,close_ksize,mean_dice,mean_iou,mean_precision,mean_sensitivity
6.0,16,7,10.0,12,0.18,3,0,0.4675485002127735,0.3074453289527925,0.42060639364999786,0.5401733115544474
6.0,16,7,10.0,12,0.18,3,5,0.4672356625584163,0.30716432108644376,0.4157760035096919,0.5470399257899742
6.0,16,7,10.0,12,0.19,3,5,0.4671884419505841,0.3069805820985037,0.3983860382163833,0.575848507933929
6.0,16,5,8.0,12,0.15,3,5,0.46577818118516406,0.30642683103733903,0.4471259358271263,0.5015469089963097
6.0,16,7,10.0,12,0.15,3,5,0.4653540703767949,0.3066151643748034,0.46481970458609656,0.4818121076258197
6.0,16,5,8.0,12,0.15,3,3,0.4647493449497302,0.30558159619896735,0.45128390576673605,0.49441507480540475
6.0,16,7,10.0,12,0.15,3,3,0.4646450917418504,0.30602175730578873,0.4677714770644711,0.477349007589453
6.0,16,5,8.0,12,0.15,3,0,0.4645896203077312,0.3054470914239649,0.4521947194054191,0.49302343452305786
6.0,16,7,10.0,12,0.15,3,0,0.46452100054494505,0.3059055676427601,0.46863837462603425,0.47625731535615784
7.0,16,7,8.0,12,0.18,3,3,0.46429748730412845,0.3048111765269732,0.4059159995547745,0.5559977648947666
7.0,16,7,8.0,12,0.18,3,0,0.46426208776173483,0.3047671046894152,0.4067648387053531,0.5544117937021009
6.0,16,5,8.0,12,0.17,3,5,0.46391750097709294,0.3046149540592733,0.4100573062990466,0.549701286817162
7.0,16,7,8.0,12,0.18,3,5,0.46341204065846436,0.30404673808142,0.401435663143637,0.5614874939971893
6.0,16,7,9.0,12,0.19,3,0,0.4631396431510951,0.30390585567979006,0.3922951462744919,0.5791313474884257
6.0,16,7,9.0,12,0.19,3,3,0.4630620174422544,0.30385153863280323,0.391431789759202,0.5807498973005849
6.0,16,5,8.0,12,0.17,3,3,0.4630351522053041,0.3039045157271501,0.4139518804997981,0.5409197192736068
6.0,16,5,8.0,12,0.17,3,0,0.46297387992546957,0.3038507395657462,0.41490998931940376,0.5392096789318277
6.0,16,5,8.0,12,0.16,3,5,0.46294928816439695,0.3039526479046712,0.4285808240557476,0.519100466569088
6.0,16,7,9.0,12,0.19,3,5,0.4620262901077808,0.30297027470186416,0.3870771654768899,0.5866725061110281
6.0,16,5,8.0,12,0.16,3,3,0.4619279149948252,0.30312010823590585,0.4326308856009399,0.5112815990054161
6.0,16,5,8.0,12,0.16,3,0,0.46174302376436344,0.3029564702912248,0.43351409749631054,0.5096987872261599
6.0,16,7,10.0,12,0.2,3,0,0.46160596456197256,0.3023352437421546,0.3892220229388571,0.5776001510896942
6.0,16,7,10.0,12,0.2,3,3,0.4614742172697901,0.30222924498030346,0.3882725094800019,0.5792318206956002
7.0,16,7,8.0,12,0.19,3,0,0.4613542038538009,0.3023762545230815,0.38952005259033384,0.5794833996732689
7.0,16,7,8.0,12,0.19,3,3,0.4612759571597287,0.30231512612702516,0.3886085685073088,0.5811900829485923
6.0,16,7,8.0,12,0.19,3,0,0.46099285261191336,0.302010840048595,0.38335612253218654,0.5940263265343406
6.0,16,7,8.0,12,0.19,3,3,0.46083992841039145,0.3018872755966975,0.3824371685761681,0.595711746699289
6.0,16,7,10.0,12,0.2,3,5,0.46059006571428907,0.3014717249042507,0.38407829497499524,0.5853997319604528
7.0,16,7,8.0,12,0.19,3,5,0.4601090455990461,0.3013133636010751,0.384185585890884,0.5869708721610136
6.0,16,7,7.0,12,0.18,3,0,0.45990296981759804,0.30121764562950437,0.38460111883954073,0.5894208858384822
6.0,16,5,8.0,12,0.18,3,5,0.45982170226611807,0.3009617312672642,0.3932199732657151,0.5688657332547775
6.0,16,7,7.0,12,0.18,3,3,0.45979903456901094,0.3011381714501855,0.38372684558494896,0.5910996599545121
6.0,16,7,8.0,12,0.19,3,5,0.4596782311586482,0.30088359574889545,0.37800805948552496,0.602119900344128
6.0,16,5,8.0,12,0.18,3,3,0.45928198819141186,0.3005371377251948,0.3973868459605212,0.5594121845378123
6.0,16,5,8.0,12,0.18,3,0,0.45927549463187056,0.30052771499824515,0.39832381585504234,0.5576392169643112
6.0,16,7,7.0,12,0.18,3,5,0.45880526124276,0.3002939905642833,0.37947703719399606,0.5975142042307686
6.0,16,7,9.0,12,0.2,3,0,0.45831973550290106,0.2997105891742694,0.37931878260885066,0.5917322208451574
6.0,16,7,9.0,12,0.2,3,3,0.45815884443891747,0.2995855979482662,0.3783800205134309,0.5934439853020299
6.0,16,7,9.0,12,0.2,3,5,0.4568533413100444,0.29847617843772667,0.3739663022562083,0.5994609876524324
6.0,16,7,8.0,12,0.2,3,0,0.45498078830288063,0.29687490165341074,0.3706947908337275,0.6059181059403196
7.0,16,7,8.0,12,0.2,3,0,0.4548975807154493,0.29683296292648803,0.37619498043590716,0.5893756159604673
6.0,16,7,8.0,12,0.2,3,3,0.4547236250387483,0.29666474739046966,0.3696920112266556,0.6076498884303425
7.0,16,7,8.0,12,0.2,3,3,0.45469550434576567,0.2966633353099535,0.3751900582528093,0.5910937817986107
7.0,16,7,8.0,12,0.2,3,5,0.4535844432651459,0.2957062356017951,0.3709139852772543,0.5974699340439641
6.0,16,7,8.0,12,0.2,3,5,0.45326206269169556,0.2954200154218949,0.3653119348141932,0.6138990703038428
