method,dice,sensitivity,precision
gabor_raw_clahe_Hyst,0.30950036591589825,0.6519375181132756,0.26470923190061446
gabor_c6_Hyst,0.30538342296425075,0.6434348687950444,0.26966072679198083
gabor_c6_inv_Hyst,0.30538342296425075,0.6434348687950444,0.26966072679198083
almeida_c6_DTD60h92,0.30470418324527154,0.7201866194179988,0.20213662686721862
gabor_c6_median7_DTD60h92,0.30422319668283515,0.7789340986738756,0.19634504743185044
gabor_c6_inv_median7_DTD60h92,0.30422319668283515,0.7789340986738756,0.19634504743185044
gabor_c6_median7_DTD60h90,0.30255038291080655,0.7794577798823251,0.1950435113019503
gabor_c6_inv_median7_DTD60h90,0.30255038291080655,0.7794577798823251,0.1950435113019503
gabor_c6_median7_DTD60h85,0.29872720838919353,0.7806718278158573,0.19214774344050362
gabor_c6_inv_median7_DTD60h85,0.29872720838919353,0.7806718278158573,0.19214774344050362
almeida_c6_DTD60h90,0.297548966955077,0.7228811453936344,0.19600123682557893
gabor_raw_green_Hyst,0.2966184683643478,0.647518756751783,0.24182107699957675
z_fuse_coh_P08,0.2928422440349614,0.2939619881677996,0.31852026618753715
z_fuse_coh_P10,0.2925295844627791,0.32822926466098606,0.285613171116359
z_fuse_coh_P12,0.2892863752584516,0.35844580143560617,0.2606661984859239
almeida_c6_DTD60h85,0.28583385664495703,0.7271828865363936,0.18568187665867858
z_fuse_c6_best_DTD60h92,0.28470080997128233,0.7517135661729226,0.1840712882168838
z_fuse_c6_best_DTD60h90,0.28224110557295334,0.7525267155804638,0.18211540334377724
z_fuse_c6_best_DTD60h85,0.27638593570070336,0.7540177377398221,0.1772982983071479
gabor_c6_median7_DTD50h92,0.27236993152026334,0.8257686571285683,0.16822613806405512
gabor_c6_inv_median7_DTD50h92,0.27236993152026334,0.8257686571285683,0.16822613806405512
gabor_c6_median7_DTD50h90,0.2710380404306674,0.8257686571285683,0.1672777966513295
gabor_c6_inv_median7_DTD50h90,0.2710380404306674,0.8257686571285683,0.1672777966513295
