dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,image,source,method
0.07494753672425554,0.03893272425247148,0.88235294116609,0.03913587977455691,0.9996528211750961,0.939733072916636,0.0027669270833333335,0.0623828125,14.png,RetCam,FlatSub+G6_TriClean_HystConn
0.0,0.0,0.0,0.0,0.9999999999999653,0.9376171874999695,0.0,0.0623828125,14.png,RetCam,FlatSub+G6_TriClean_Elbow
0.0,0.0,0.0,0.0,0.9999999999999653,0.9376171874999695,0.0,0.0623828125,14.png,RetCam,FlatSub+G6_TriClean_ElbowCln
0.0,0.0,0.0,0.0,0.9999999999999653,0.9376171874999695,0.0,0.0623828125,14.png,RetCam,FlatSub+G6_TriClean_P10Cln
0.3863455237757048,0.23942270756729425,0.33551215010753016,0.45533291588371144,0.9400005554860871,0.9097656249999704,0.08466145833333333,0.0623828125,14.png,RetCam,C6_Gabor_P10
0.19846665309721157,0.11016540628482795,0.11406423034329122,0.7632018367768925,0.6056048549486659,0.6154361979166466,0.41740234375,0.0623828125,14.png,RetCam,C6_Gabor_Hyst
0.0,0.0,0.0,0.0,0.9999826410587218,0.9376009114583028,1.6276041666666666e-05,0.0623828125,14.png,RetCam,C6_Gabor_HystCln
0.0941893816314471,0.04942221473824972,0.07649952757955349,0.12252139428087949,0.9015921620908184,0.8529915364583055,0.099912109375,0.0623828125,14.png,RetCam,C6_Gabor_HystConn
0.33917435872117097,0.2042203289082219,0.24768702088283767,0.5378313504484774,0.8913121970864443,0.869261067708305,0.135458984375,0.0623828125,14.png,RetCam,C6_Gabor_Elbow
0.0002193062611936769,0.00010966515572448104,0.00036607687614354347,0.00015654351909822763,0.9715591106666884,0.9109602864583036,0.026676432291666666,0.0623828125,14.png,RetCam,C6_Gabor_ElbowCln
0.3471537196875393,0.21003388144595753,0.3418842339605637,0.35258818618224136,0.9548424502492412,0.9172721354166368,0.0643359375,0.0623828125,14.png,RetCam,C6_Gabor_P10Cln
0.35730098290968804,0.21750849010829135,0.31028914180240297,0.42110206637423236,0.9377230623949458,0.9054947916666372,0.08466145833333333,0.0623828125,14.png,RetCam,C6_DoG_P10
0.19548549962835418,0.10833135427179626,0.1121319434308586,0.7616885827589429,0.5987307142162577,0.6088964843749801,0.42375325520833335,0.0623828125,14.png,RetCam,C6_DoG_Hyst
0.0,0.0,0.0,0.0,0.992632865336243,0.9307096354166363,0.006907552083333333,0.0623828125,14.png,RetCam,C6_DoG_HystCln
0.10750963487711745,0.05680855071097637,0.09379980563650386,0.12591317052800777,0.9190656723464803,0.8695865885416383,0.083740234375,0.0623828125,14.png,RetCam,C6_DoG_HystConn
0.32081742793202567,0.19105571560150686,0.23428337979423383,0.5087142558962071,0.8893784110319234,0.8656315104166384,0.13545572916666668,0.0623828125,14.png,RetCam,C6_DoG_Elbow
0.2811354118193986,0.16355878976887717,0.2185121958276038,0.3940722187432717,0.9062304711910696,0.8742805989583048,0.11250325520833333,0.0623828125,14.png,RetCam,C6_DoG_ElbowCln
0.32906230333534825,0.1969327186717898,0.317883371431196,0.34105614694200526,0.9513081698120738,0.9132389322916369,0.06693033854166666,0.0623828125,14.png,RetCam,C6_DoG_P10Cln
0.3467445669011759,0.20973441850497707,0.3010529551916451,0.4087873095385051,0.9368551153327731,0.9039127604166373,0.08470703125,0.0623828125,14.png,RetCam,C6_Gabor_Fused_P10
0.2324564377245718,0.13151383800992236,0.13876634152263137,0.7156126069710312,0.7045022150008782,0.705195312499977,0.3217057291666667,0.0623828125,14.png,RetCam,C6_Gabor_Fused_Hyst
0.0,0.0,0.0,0.0,0.996059520337701,0.9339225260416363,0.0036946614583333332,0.0623828125,14.png,RetCam,C6_Gabor_Fused_HystCln
0.11384984815309136,0.06036096757281501,0.10371895508939058,0.12617407639317146,0.9274569845435665,0.8774707031249714,0.075888671875,0.0623828125,14.png,RetCam,C6_Gabor_Fused_HystConn
0.31477491406103475,0.18678508686312967,0.22983067131014057,0.49932164475031343,0.8886736380174391,0.8643847656249718,0.13553059895833333,0.0623828125,14.png,RetCam,C6_Gabor_Fused_Elbow
