method,dice,sensitivity,precision,iou
C4G4_combined_ElbowCln,0.1382249216159458,0.1953330970726796,0.1933903333659227,0.07845150511079699
C4G4_P10_Elbow,0.13676664338272965,0.08284241844097844,0.4541214317584309,0.07394751345618451
C6_Gabor_Fused_HystConn,0.13552074992855465,0.09762925046312369,0.3322477156905931,0.07293647516408759
MultiFused_HystConn,0.13543325487580543,0.09933142304966924,0.32565730591653835,0.07286442453486763
C6_Triple_HystConn,0.13496398908325374,0.09831226315689143,0.33278359976332944,0.07259124303980385
C6G6_combined_HystConn,0.13292545323647184,0.09161366538647803,0.3395283467571562,0.07140151008368718
C6_DoG_HystConn,0.1307450522714006,0.08778375539294245,0.3669710755345633,0.07014757017563021
C4G4_combined_HystConn,0.1289860967925549,0.09453005464563004,0.32854583279369737,0.06916013554269518
FlatSub+G6_combined_HystConn,0.12603121881419033,0.12049196960454103,0.14856511668021063,0.06745235651087982
C6_Gabor_HystConn,0.12582823141160143,0.11035957098031272,0.24127310459287843,0.0676522308245329
C6_Triple_ElbowCln,0.12264878728074233,0.16587035775171338,0.1674859771381887,0.06851490182949245
C4G4_TriClean_P10Cln,0.12204293424703352,0.06686516856287328,0.7667246013571365,0.0656192781391903
C4G4_TriClean_P10,0.12141457894817201,0.06702197958371255,0.6647419510544818,0.0652548461766642
C6G6_P10_HystCln,0.11675719822672166,0.06385934050624495,0.7510769910548494,0.06272443364769223
C6G6_P10_Hyst,0.11559180697530216,0.06685200851362058,0.514324587116034,0.061837572713466814
C6_Gabor_Fused_ElbowCln,0.11428716240854,0.15961953559058473,0.16181664835571388,0.06391387414331971
C4G4_P10_HystCln,0.11177941183809403,0.06127786628601092,0.7678221859352051,0.06005006506124457
C6G6_TriClean_P10Cln,0.11073224633706365,0.06123959535387846,0.6416559848183432,0.059978599428646404
C6G6_TriClean_P10,0.11040154957735063,0.06135748051724173,0.5873431610235056,0.059782335360067516
C4G4_P10_Hyst,0.1088217428366117,0.06475723852073029,0.4528017282616038,0.05807221029445846
C4G4_combined_HystCln,0.10789352573587452,0.08897461821080392,0.2611329142053155,0.062190494608425864
C6_Triple_HystCln,0.09731623393509128,0.09077927847873735,0.20880355187519153,0.05639620915293013
C6_Gabor_Fused_HystCln,0.07830610984043138,0.0584801886451492,0.21690113233665578,0.043190167626346684
C4G4_P10_P10Cln,0.06877674684163672,0.036611156216644625,0.6378914001582091,0.03619172369847108
C4G4_TriClean_HystConn,0.06490618212589137,0.0343415230052486,0.6898546176221355,0.03373500231340231
C4G4_P10_P10,0.06412229317293452,0.036672932672194763,0.2853342519298842,0.03361375293202224
C6G6_TriClean_HystConn,0.05933639922214913,0.03130740669039677,0.7017084410154546,0.030792342241037347
FlatSub+G6_P10_HystConn,0.05749195937398316,0.03006196264678441,0.7063436583884685,0.0296559193279645
FlatSub+G6_TriClean_HystConn,0.055773444013179005,0.028971295462501694,0.7856563643195708,0.028744962517349665
C6_Gabor_ElbowCln,0.048684817701716995,0.04596137876265971,0.09851977462993577,0.025845309437137854
C6G6_P10_P10Cln,0.046098305824901466,0.025028144100817783,0.3473271805807775,0.024656861443717128
C6G6_P10_P10,0.043157531267047924,0.02510359567440811,0.17344138277247206,0.022977861954791796
C6_Gabor_HystCln,0.03858689658189017,0.03689549018406646,0.10697532511888433,0.022898625763200918
C6G6_P10_HystConn,0.038034594700540984,0.019774770628983408,0.5698246903962461,0.01942298807732267
C4G4_P10_HystConn,0.03619660436284683,0.018883441671403597,0.5169660630940077,0.018475840687240647
FlatSub+G6_P10_P10Cln,0.00968629349943752,0.005214052718378298,0.06993896589942027,0.005094338975652505
FlatSub+G6_P10_P10,0.009212181775610681,0.005227690967419571,0.040872316502203784,0.00483199293103437
FlatSub+G6_combined_HystCln,0.005922537764867042,0.0036753420380314906,0.03282645225131833,0.002986896089397073
FlatSub+G6_TriClean_P10,0.0,0.0,0.0,0.0
FlatSub+G6_TriClean_Elbow,0.0,0.0,0.0,0.0
FlatSub+G6_TriClean_ElbowCln,0.0,0.0,0.0,0.0
FlatSub+G6_TriClean_P10Cln,0.0,0.0,0.0,0.0
