method,dice,sensitivity,precision
almeida_bilateral_P12,0.37570635740805836,0.47052560147933986,0.3359133048043834
almeida_gauss_P12,0.374678603936031,0.46951398863397953,0.33544392747635843
almeida_median5_P10,0.373977130891318,0.42587299510132903,0.36064053475783936
almeida_median5_consensus_3of5,0.373977130891318,0.42587299510132903,0.36064053475783936
almeida_median53_P10,0.37295308045555287,0.42494628199270384,0.3598730223432097
almeida_stick_P12,0.37266203395489467,0.4655634877859869,0.3339328669754506
almeida_median3_P12,0.37190880527663434,0.4656820571289514,0.3329204243101324
almeida_gauss_P10,0.3712046139086983,0.4224391177649146,0.3586535693863628
almeida_bilateral_P10,0.37043064880265997,0.4212616425496959,0.3573785308283477
almeida_median3_P10,0.3693641189122616,0.4189014837379016,0.35739198848754045
almeida_stick_P10,0.3685431506853374,0.4179171701581033,0.35675905494461535
almeida_median7_P10,0.3684980342510769,0.4201067379837472,0.3552202211810115
almeida_P10,0.3615154713330241,0.41078065529877816,0.3499733658337606
almeida_median53_P08,0.36057509789323794,0.36850786594078905,0.3855399985141631
almeida_median5_P08,0.3598327345327081,0.3681884776177015,0.38405898692000207
almeida_median5_consensus_4of5,0.3598327345327081,0.3681884776177015,0.38405898692000207
almeida_gauss_P08,0.35978814511650503,0.367038086225701,0.385436383430393
almeida_median3_P08,0.3586012952922654,0.3656160960217958,0.3837729718036393
almeida_bilateral_P08,0.35672410973344637,0.36390832950590624,0.38160907156995827
almeida_stick_P08,0.3561867741305965,0.3625393821374887,0.3820667342287937
almeida_median7_P08,0.351007343415244,0.35897119671071687,0.37434711061604986
almeida_median5_Hyst,0.27016644449751837,0.8053288477721557,0.1723923811550495
fused_median5_Hyst,0.23318535429329998,0.8673582438250431,0.13786113270406136
gabor_median5_Hyst,0.22110086116441632,0.866204394147163,0.13190133142598703
almeida_median5_HystCln,0.0008346210454340044,0.00048494349093234127,0.0654726946186789
gabor_median5_HystCln,4.59254904842215e-06,2.2970340696084763e-06,0.006944444436728394
fused_median5_HystCln,0.0,0.0,0.0
