dice,iou,precision,sensitivity,specificity,accuracy,pred_density,gt_density,image,source,channel_source,threshold,time_sec
0.5143500948765587,0.34621218168746276,0.4584082020926405,0.5858435769280085,0.9460614545722165,0.92001953124997,0.092392578125,0.072294921875,11.png,RetCam,C6G6,Triangle_clean,1.618
0.46441163758239784,0.8723486707893302,0,0,0,0,0,0,11.png,RetCam,C6G6,SOFT_AUPRC,0
0.05957871713183882,0.0307040113700334,0.06311388706993244,0.0564185690485585,0.9347347810983176,0.8712369791666382,0.06462565104166666,0.072294921875,11.png,RetCam,BH isolated,P08,1.609
0.0672393994811238,0.03478930575420073,0.06370633033804904,0.07118735647707182,0.9184676007312189,0.8572135416666388,0.08078450520833333,0.072294921875,11.png,RetCam,BH isolated,P10,1.609
0.07343861201406578,0.03811900958465693,0.06410342511750701,0.08595614390558513,0.9022039292468568,0.8431933593749725,0.09694010416666667,0.072294921875,11.png,RetCam,BH isolated,P12,1.609
0.07715268998453485,0.040124189571721286,0.06323575972136453,0.09892385969647488,0.8857999024530288,0.8289127604166396,0.113095703125,0.072294921875,11.png,RetCam,BH isolated,P14,1.609
0.010331157650258146,0.005192400579614719,0.04667149059317413,0.005808456031336031,0.9907540939888981,0.9195475260416367,0.008997395833333333,0.072294921875,11.png,RetCam,BH isolated,Triangle,1.609
0.009719656197281018,0.004883561367395211,0.04499814057253627,0.005448241703811316,0.9909891891322535,0.9197395833333034,0.008753255208333333,0.072294921875,11.png,RetCam,BH isolated,Triangle_clean,1.609
0.06131372014510647,0.43281896232790235,0,0,0,0,0,0,11.png,RetCam,BH isolated,SOFT_AUPRC,0
0.06307827700210188,0.0325662499692923,0.0668548956337265,0.05970552478722153,0.9350575983100893,0.8717740885416383,0.06456380208333333,0.072294921875,11.png,RetCam,BHboost+G6,P08,1.597
0.0710182545423448,0.03681644717975056,0.06731738797238442,0.0751497140798437,0.9188605955977235,0.8578645833333054,0.08070638020833333,0.072294921875,11.png,RetCam,BHboost+G6,P10,1.597
0.07598152424940802,0.03949105749609101,0.06635071090045162,0.08888288531672345,0.9025337642241017,0.8437109374999725,0.096845703125,0.072294921875,11.png,RetCam,BHboost+G6,P12,1.597
0.07944623060839448,0.04136631417175137,0.06513972918465424,0.1018055743166726,0.8861402640784837,0.8294368489583063,0.11298828125,0.072294921875,11.png,RetCam,BHboost+G6,P14,1.597
0.009676638980723459,0.004861842638357969,0.046278441958942235,0.005403214912870727,0.9913225329922352,0.9200455729166367,0.008440755208333333,0.072294921875,11.png,RetCam,BHboost+G6,Triangle,1.597
